KERNEL_SIZE,MAX_RUN_TIME,MIN_RUN_TIME,AVG_RUN_TIME,MEDIAN_RUN_TIME
3,27.4017,9.69179,15.1146,14.2623
5,33.1849,24.7113,27.735,27.4469
7,70.5513,50.5536,58.7697,59.3271
9,103.88,81.0466,93.1267,93.1682
11,141.886,124.14,131.424,131.489
13,197.046,166.115,182.638,182.604
15,255.245,218.336,232.439,230.31
17,308.91,276.687,291.054,290.093
19,371.956,346.914,359.49,360.058
21,459.517,418.875,436.749,434.567
23,570.424,490.788,517.903,514.288
25,635.187,567.829,601.16,599.447
27,724.195,668.847,687.547,682.237
29,836.501,768.4,793.917,793.53
31,937.327,864.767,898.933,895.844
33,1080.67,986.896,1029.76,1030.59
35,1192.09,1112.56,1142.88,1136.8
37,1345.11,1216.77,1258.25,1249.99
39,1509.17,1377.54,1430.56,1408.09
41,1655.25,1523.09,1568.4,1552.45
43,1985.01,1684.17,1783.31,1759.92
45,2114.78,1843.2,1938.27,1931.35
47,2140.16,1990.46,2057.11,2047.02
49,2341.06,2155.82,2221.93,2219.45
